feature,adf_stat,adf_p,kpss_stat,kpss_p,ticker_adf_rej_pct,ticker_kpss_rej_pct,verdict
return,-48.17698490758255,0.0,0.18611990841510176,0.1,100.0,0.0,Strictly Stationary
log_return,-48.043320811439635,0.0,0.18696093703908181,0.1,100.0,0.0,Strictly Stationary
ewma_vol,-11.215913112569998,2.0699122342912962e-20,2.9061279298941702,0.01,100.0,71.42857142857143,Difference Stationary / Heavy Tails
volatility_ratio_5_21,-24.99369783195799,0.0,0.020261832654025435,0.1,100.0,0.0,Strictly Stationary
garman_klass_vol,-18.422767574762094,2.174927719098573e-30,3.0321802702589444,0.01,100.0,78.57142857142857,Difference Stationary / Heavy Tails
garch_vol,-13.90414444128128,5.663294161081625e-26,2.3064508015824896,0.01,100.0,64.28571428571429,Difference Stationary / Heavy Tails
shadow_upper,-46.596052625395075,0.0,0.14481561567653556,0.1,100.0,21.428571428571427,Strictly Stationary
shadow_lower,-45.98416445864537,0.0,0.2200646264868312,0.1,100.0,32.142857142857146,Strictly Stationary
shadow_ratio,-45.41080397234749,0.0,0.2925430973611301,0.1,100.0,14.285714285714285,Strictly Stationary
vwap_distance,-20.02206287492883,0.0,0.4714377254044792,0.04809961139538757,100.0,14.285714285714285,Difference Stationary / Heavy Tails
order_flow_imbalance,-55.565762460030435,0.0,0.3961306375914244,0.07882300103817913,100.0,3.571428571428571,Strictly Stationary
corwin_schultz_spread,-17.39184388123639,5.004117552601168e-30,4.621085581133743,0.01,100.0,78.57142857142857,Difference Stationary / Heavy Tails
return_shock_zscore,-46.73960108993053,0.0,0.023984356619092793,0.1,100.0,0.0,Strictly Stationary
volume_spike_index,-32.83158608767691,0.0,0.08497658014700928,0.1,100.0,0.0,Strictly Stationary
joint_vol_vol_shock,-47.21978681601343,0.0,0.08894439160469905,0.1,100.0,0.0,Strictly Stationary
